Name,Symbol,Alternate Symbol,s,m,kg,mol,C,K,cd,COEFF
Second,s,,1,,,,,,,1
Meter,m,,,1,,,,,,1
Kilogram,kg,,,,1,,,,,1
Mole,mol,,,,,1,,,,1
Coulomb,C,,,,,,1,,,1
Kelvin,K,,,,,,,1,,1
Candela,cd,,,,,,,,1,1
Hertz,Hz,,-1,,,,,,,1
Radian,rad,,,,,,,,,1
Steradian,sr,,,,,,,,,1
Newton,N,,-2,1,1,,,,,1
Pascal,Pa,,-2,-1,1,,,,,1
Joule,J,,-2,2,1,,,,,1
Watt,W,,-3,2,1,,,,,1
Ampere,A,,-1,,,,1,,,1
Volt,V,,-2,2,1,,-1,,,1
Ohm,Ω,ohm,-1,2,1,,-2,,,1
Farad,F,,2,-2,-1,,2,,,1
Siemens,S,,1,-2,-1,,1,,,1
Tesla,T,,-1,,1,,-1,,,1
Weber,Wb,,-1,2,1,,-1,,,1
Henry,H,,,2,1,,-2,,,1
Celcius,°C,degC,,,,,,,,1
Lumen,lm,,,,,,,,,1
Lux,lx,,,,,,,,,1
Becquerel,bq,,,,,,,,,1
Gray,Gy,,,,,,,,,1
Sievert,Sv,,,,,,,,,1
Katal,kat,,,,,,,,,1
